"AED Serial Number",Model/Type,"School Location","School Name","School Code","Building Code",Region,"Is Cooling Center?",City,Zip,Floor,"Summer School?",Complete?,"Date Completed",Invoiced?,Recalled?,RMA?,"AED Location","Pads A","Pads B","Pediatric Pads","G 2005","Spare Battery Install Before Date",Battery,"Medical Director","Municipal Filing","Num Drills","Num Service Calls","Service History","Last Service Date","Trainer Name","# Trained","Contact Name","Contact Phone","Contact Email"
0103081485,NYC100_FR2,"420 East 12 Street","East Side Community School",01-M-450,,,N,"New York",10009,,No,No,,No,No,No,"PSAL ",2015-08-01,2015-08-01,2015-01-01,Y,2013-10-01,,,,34,35,"No setup file for G2005 updating.  *Unit not available for inspection 3/08 and again 5/15
AED Marked Unavailable 

Signed for by Smith on 10/11/12. - 11/19/2013
AED Marked Unavailable 

Out with Coach: 2018-04-25 11:11:39
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2013-11-19,"Taylor Litz",14,"Lily Garcia","(212) 460-8467",lgarcia30@schools.nyc.gov
0103081529,NYC100_FR2,"2351 First Avenue","River East Elementary",04-M-037,,CFN14,N,"New York",10035,,No,No,,No,No,No,sports,2011-05-01,2011-05-01,2011-03-01,Y,2015-03-01,,,,29,15,"Not available for inspection 5/08 and again 9/08 (out with coach)  *FR kit requested 10/09  *Not available/Out at sports practice.  4/10  *Unit not found 10/11  *Unit unavailable for more than 2 yrs now.  6/12 - MISSING?
AED Marked Unavailable


AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
Formerly Owned by Coalition School For Social Change, which closed Summer 2018 
AED Marked Unavailable 
",2014-12-23,"Peter Shikar",7,"Jesenia Duran",(212)348-2208,jduran5@schools.nyc.gov
0103081890,NYC100_FR2,"549 Audubon Avenue","High School for Law and Public Service",06-M-467,,,N,"New York",10040,,No,No,,No,No,No,"PSAL ",2009-03-01,2009-03-01,2010-02-01,Y,2009-09-01,,,,23,22,"Unit unavailable for insp.  9/18/07  AED missing 11/08
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2013-12-20,"Taylor Litz",10,"Jodie Ferguson",212-927-2380,jferguson3@schools.nyc.gov
0103082258,NYC100_FR2,"215 West 114 Street","Wadleigh Secondary School for the Performing & Visual Arts",03-M-415,,,N,"New York",10026,,No,No,,No,No,No,PSAL,2017-04-01,2021-11-01,,Y,2014-10-01,,,,31,20,"lost advised to produce Police Report 12/16/16
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.
Princ, AD , and DOE notified police report advised 12/11/19 SF",2016-05-05,"Damian Carrera",3,"Persia Plaza",212-749-5800,pplaza@schools.nyc.gov
0103082283,NYC100_FR2,"240 East 172 Street","Bronx High School Of Business",09-X-412,,1,N,Bronx,10457,,No,No,,No,No,No,PSAL,2011-05-01,2011-05-01,2011-09-01,Y,2009-03-01,,,,5,5,"Changed battery.  *Not available for inspection 1/09  *Unit MISSING; Police report made over 4 yrs ago.  11/11
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.",2011-05-05,"Damian Carrera",6,"Andria Cuello","718-410-4343 ext 1161",ACuello2@schools.nyc.gov
0203082977,NYC100_FR2,"1119 Bedford Avenue","Bedford Academy High School",13-K-595,,,N,Brooklyn,11216,,No,No,,No,No,No,PSAL,2011-04-01,2012-01-01,2012-04-01,Y,2015-06-01,,,,37,28,"Out with coach/not available for inspection 11/08  *Unit MISSING 1/11
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2010-03-22,"Rodney Riddick",14,"Robert Phelps ",9174639151,rphelps3@schools.nyc.gov
0203082989,NYC100_FR2,"215 West 114 Street","Wadleigh Secondary School for the Performing & Visual Arts",03-M-415,M088,,N,"New York",10026,,No,No,,No,No,No,PSAL,2007-01-01,2007-01-01,2007-01-01,N,2009-03-01,,,,31,20,"AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

Out with Coach: 2021-11-22 12:54:31

MISSING - Police Report Needs to be Filed.
Princ, AD , and DOE notified police report advised 12/11/19 SF",2008-03-14,"Damian Carrera",3,"Persia Plaza",212-749-5800,pplaza@schools.nyc.gov
0203083270,NYC100_FR2,"333 East 151 Street","Alfred E. Smith Career and Technical Education High School",07-X-600,,,N,Bronx,10451,,No,No,,No,No,No,PSAL,2009-02-01,2009-02-01,2009-03-01,Y,2009-06-01,,,,28,17,"AED stolen 9/08
AED Marked Unavailable
AED Marked Unavailable 
MISSING - Police Report Needs to be Filed.",2016-04-06,"Damian Carrera",13,"Kenneth Milani",917-284-3949,kmilani@schools.nyc.gov
0203083393,NYC_FR2,"257 North 6th Street","Brooklyn Preparatory High School",14-K-488,,,N,Brooklyn,11211,,No,No,,No,No,No,"PSAL-Volleyball ",2015-06-01,2015-06-01,2015-05-01,Y,2015-06-01,,,,24,21,"Needs ancillary supplies.
Unit inspected during coaches clinic. 09/17/11  **Unit MISSING 3/15
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2014-11-24,"Jonathan Cruz",17,"Danna Steppe",718-486-2550,dsteppe@schools.nyc.gov
0203084023,NYC100_FR2,"549 Audubon Avenue","High School for Law and Public Service",06-M-467,,,N,"New York",10040,,No,No,,No,No,No,"PSAL AED Found",2011-05-01,2011-05-01,2011-06-01,Y,2009-07-01,,,,23,22,"New battery requested 3/08  MISSING 5/10 per MM
AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 

AED Marked Unavailable 
",2023-02-09,"Taylor Litz",10,"Jodie Ferguson",212-927-2380,jferguson3@schools.nyc.gov
