City,ContactPerson,CPTelephone,Floor,NumberAEDs,Person,PersonTrained,State,StreetAddress,Telephone,Zip
"New York","Ismael Noriega",212-348-2719,PSAL,1,6,"Emergency Skills",NY,"320 East 96th Street",212-348-1694,10128
"New York","Ismael Noriega",212-348-2719,"Main entrance by school safety",1,6,"Emergency Skills",NY,"320 East 96th Street",212-348-1694,10128
"New York","Ismael Noriega",212-348-2719,"3rd Floor Outside Room 306",1,6,"Emergency Skills",NY,"320 East 96th Street",212-348-1694,10128
"New York","Ismael Noriega",212-348-2719,PSAL,1,6,"Emergency Skills",NY,"320 East 96th Street",212-348-1694,10128
"New York","Ismael Noriega",212-348-2719,"Outside Gym",1,6,"Emergency Skills",NY,"320 East 96th Street",212-348-1694,10128
Flushing,"Carla Nasso",,"PSAL- ",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,PSAL,1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"PSAL- ",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"MAIN ENT",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"PSAL- ",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"PSAL- ",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"PSAL- ",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"PSAL- ",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"PSAL- ",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"PSAL- ",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"PSAL- ",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"Room 318",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,"Room 268 Nurses Office",1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Flushing,"Carla Nasso",,PSAL,1,56,"Emergency Skills",NY,"35-01 Union Street",718-888-7500,11354
Jamaica,"Hilliary Matthew",718-557-2836,Lobby,1,6,"Emergency Skills",NY,"90-27 SUTPHIN BLVD",718-281-7559,11435
"Staten Island","Maria Gagliardo",718-370-6900,"Main Entrance",1,8,"Emergency Skills",NY,"100 Essex Drive",718-370-6900,10314
"Staten Island","Maria Gagliardo",718-370-6900,Baseball,1,8,"Emergency Skills",NY,"100 Essex Drive",718-370-6900,10314
"Staten Island","Maria Gagliardo",718-370-6900,PSAL,1,8,"Emergency Skills",NY,"100 Essex Drive",718-370-6900,10314
"Staten Island","Maria Gagliardo",718-370-6900,"Expeditionary School Entrance",1,8,"Emergency Skills",NY,"100 Essex Drive",718-370-6900,10314
"Staten Island","Maria Gagliardo",718-370-6900,"1st Floor By Hungerford Entrance",1,8,"Emergency Skills",NY,"100 Essex Drive",718-370-6900,10314
"Staten Island","Maria Gagliardo",718-370-6900,"Outside Gym, 1st Floor",1,8,"Emergency Skills",NY,"100 Essex Drive",718-370-6900,10314
"Staten Island","Maria Gagliardo",718-370-6900,"3rd Floor Outside Room 343",1,8,"Emergency Skills",NY,"100 Essex Drive",718-370-6900,10314
"Staten Island","Maria Gagliardo",718-370-6900,"2nd Fl",1,8,"Emergency Skills",NY,"100 Essex Drive",718-370-6900,10314
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL ",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL ",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL- ",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL ",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL-ROOM 421",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL - ",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL-ROOM 421",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL- ",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","MAIN ENTRANCE OUTSIDE ROOM 143",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL- ",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL- ",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","OUTSIDE ROOM 343",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Brooklyn,"Stan Kaps","(718) 372-3480","PSAL - ",1,21,"Emergency Skills",NY,"2630 Benson Avenue",718-372-3480,11214
Bronx,"L. Morrison",718-584-6004,"Main Entrance",1,14,"Emergency Skills","New York","2100 Walton Ave",718-584-6004,10453
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL-GYM,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL-GYM,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL-GYM,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL-GYM,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL-GYM,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL-GYM,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL-GYM,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,PSAL-GYM,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,"PSAL ",1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,"GYM PSAL",1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,"5th Floor",1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,"1ST FLOOR ACROSS FROM NURSES OFFICE",1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,"Main Entrance",1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,"3rd Floor",1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
BROOKLYN,"MIKE BELOGENIS",718-837-3785,,1,54,"Emergency Skills",NY,"1601 80TH ST",718-837-3785,11214
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,"PSAL- ",1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,"MAIN ENTRANCE",1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,"PSAL- ",1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,"PSAL- ",1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,"PSAL ",1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,"PSAL ",1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,"Moved to outside room A173",1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,"2nd floor staircase D",1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,"4th floor by staircase D",1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,"PSAL- ",1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
"Staten Island"," MR. MARIENello",718-698-4200,PSAL,1,70,"Emergency Skills",NY,"1200 Manor Road",718-698-4200,10314
Flushing,"Wanda Nix",718-575-5580,"5TH FLOOR RM 503",1,45,"Emergency Skills",NY,"149-11 Melbourne Avenue",718-575-5580,11367
Flushing,"Wanda Nix",718-575-5580,"PSAL ",1,45,"Emergency Skills",NY,"149-11 Melbourne Avenue",718-575-5580,11367
Flushing,"Wanda Nix",718-575-5580,"PSAL- ",1,45,"Emergency Skills",NY,"149-11 Melbourne Avenue",718-575-5580,11367
Flushing,"Wanda Nix",718-575-5580,"1ST FLOOR BY ELEVATOR",1,45,"Emergency Skills",NY,"149-11 Melbourne Avenue",718-575-5580,11367
Flushing,"Wanda Nix",718-575-5580,"PSAL ",1,45,"Emergency Skills",NY,"149-11 Melbourne Avenue",718-575-5580,11367
Flushing,"Wanda Nix",718-575-5580,"PSAL- ",1,45,"Emergency Skills",NY,"149-11 Melbourne Avenue",718-575-5580,11367
